         0    15.07096    -5.43824     9.63272    10.51074
        10    10.01033    -0.29078     9.71955    29.09878
        20    15.66268    -0.80738    14.85530    31.26554
        30    14.51790    -0.17043    14.34747    33.16100
        40    14.95034     0.03336    14.98370    34.05455
        50    14.82428     0.36903    15.19331    35.13840
        60    15.36187     0.15081    15.51268    34.54126
        70    15.29554    -0.00267    15.29287    33.95372
        80    15.40738    -0.26715    15.14023    33.47189
        90    14.38120     0.50610    14.88729    35.72666
       100    15.84934    -0.20529    15.64406    33.64911
       110    15.32823    -0.37307    14.95516    32.80469
       120    14.48165     0.30556    14.78721    35.07748
       130    14.37953     1.06995    15.44948    37.73580
       140    15.66097     0.54941    16.21038    36.81851
       150    15.91105    -0.20903    15.70202    34.13137
       160    15.18784    -0.24351    14.94433    33.16198
       170    14.26901     0.61834    14.88735    36.20609
       180    15.34498     0.44568    15.79066    36.05012
       190    14.78047     0.82173    15.60220    37.10787
       200    14.90048     1.05966    15.96014    38.27235
       210    16.17171     0.03558    16.20729    34.99902
       220    15.19476    -0.00297    15.19180    34.27418
       230    14.92971     0.21216    15.14187    34.73706
       240    15.41758    -0.05739    15.36019    34.00158
       250    14.85467     0.24584    15.10051    34.92040
       260    15.24969     0.14311    15.39280    34.66291
       270    15.49221    -0.18929    15.30292    33.24485
       280    14.51931     0.41869    14.93799    35.29321
       290    15.96795    -0.39456    15.57339    33.08956
       300    15.55235    -0.79354    14.75881    31.25813
       310    14.68228    -0.32157    14.36071    32.62672
       320    14.53916     0.29283    14.83199    35.26191
       330    15.59848    -0.17127    15.42721    34.19529
       340    14.84564     0.12864    14.97428    34.88989
       350    15.43066    -0.14157    15.28908    33.89348
       360    14.85479     0.15943    15.01422    34.69901
       370    15.30802    -0.01006    15.29796    34.22736
       380    15.25861    -0.10925    15.14936    33.89409
       390    14.29103     0.74607    15.03710    36.60979
       400    16.24531    -0.34174    15.90356    33.41736
       410    15.50228    -0.68891    14.81338    31.44878
       420    15.06979    -0.61669    14.45310    31.75314
       430    14.96197    -0.43079    14.53118    32.52336
       440    13.83569     0.91473    14.75042    37.10119
       450    16.24223    -0.20789    16.03435    33.97918
       460    15.26071    -0.31459    14.94612    32.95179
       470    14.91427    -0.07436    14.83991    33.57966
       480    15.23701    -0.17247    15.06454    33.38668
       490    15.27043    -0.28916    14.98127    32.78711
       500    14.73800     0.11755    14.85555    34.34451
       510    15.15914    -0.30079    14.85836    32.85043
       520    15.42589    -0.56894    14.85695    31.99598
       530    15.19644    -0.33808    14.85836    32.80919
       540    14.85191     0.00431    14.85622    34.05930
       550    14.65962     0.20475    14.86437    34.75037
       560    14.52765     0.32897    14.85662    35.14627
       570    15.20030    -0.33736    14.86293    32.93396
       580    15.45493    -0.57474    14.88019    31.94714
       590    15.58274    -0.73657    14.84617    31.57766
       600    14.98999    -0.12760    14.86239    33.71480
       610    15.02010    -0.16228    14.85783    33.35290
       620    14.52358     0.34370    14.86727    35.03723
       630    15.14735    -0.28370    14.86365    33.22784
       640    14.89011    -0.02580    14.86432    33.75799
       650    14.68382     0.18973    14.87356    34.29356
       660    14.96899    -0.10243    14.86655    33.32265
       670    14.48787     0.37745    14.86532    34.87853
       680    14.82825     0.03426    14.86251    33.87969
       690    15.21495    -0.34512    14.86984    32.75399
       700    15.24325    -0.37577    14.86748    32.58933
       710    14.94491    -0.08707    14.85784    33.34195
       720    15.10038    -0.24604    14.85434    32.84386
       730    14.76936     0.09677    14.86614    34.26289
       740    14.98837    -0.12892    14.85945    33.52758
       750    15.19506    -0.33245    14.86261    32.69835
       760    15.39106    -0.52227    14.86879    31.89300
       770    15.02531    -0.16468    14.86064    33.39963
       780    15.46631    -0.60984    14.85647    31.84694
       790    14.11924     0.74120    14.86044    36.20733
       800    14.50052     0.36571    14.86623    35.04793
       810    14.40694     0.45423    14.86117    35.42028
       820    15.39269    -0.52638    14.86632    32.22479
       830    14.16268     0.69457    14.85725    36.32384
       840    14.34740     0.51678    14.86418    35.69973
       850    14.23749     0.63000    14.86749    35.77424
       860    14.69385     0.17170    14.86555    34.22536
       870    15.30854    -0.46170    14.84684    32.26071
       880    14.79174     0.06684    14.85858    34.18818
       890    15.27212    -0.41160    14.86053    32.53989
       900    15.27089    -0.41142    14.85946    32.40304
       910    15.44434    -0.58800    14.85634    31.74450
       920    14.52908     0.32924    14.85832    34.79577
       930    14.88469    -0.01624    14.86845    33.66715
       940    14.39724     0.47021    14.86745    35.48821
       950    15.90603    -1.05254    14.85350    30.51446
       960    14.70188     0.16505    14.86694    34.32677
       970    15.59215    -0.73666    14.85550    31.25055
       980    14.64349     0.21443    14.85792    34.69739
       990    14.50510     0.35470    14.85980    35.45141
      1000    14.32536     0.54050    14.86586    35.90272
      1010    14.65243     0.20366    14.85609    34.53451
      1020    14.62348     0.24599    14.86947    34.80884
      1030    14.87652    -0.01240    14.86411    34.19433
      1040    15.26120    -0.40809    14.85311    32.93168
      1050    14.45874     0.40538    14.86411    35.73630
      1060    14.56727     0.30726    14.87453    34.83864
      1070    14.95489    -0.09392    14.86096    33.49008
      1080    14.94772    -0.08090    14.86682    33.42332
      1090    15.02242    -0.15796    14.86447    33.25424
      1100    15.51257    -0.65231    14.86027    31.69832
      1110    15.13471    -0.28133    14.85338    32.90388
      1120    14.61445     0.24996    14.86441    34.62038
      1130    14.75834     0.10271    14.86105    34.09005
      1140    15.44799    -0.57552    14.87248    31.66747
      1150    15.25130    -0.39313    14.85817    32.51550
      1160    14.61247     0.25332    14.86579    34.85399
      1170    14.23046     0.64272    14.87318    36.18925
