         0    11.97099    -5.38226     6.58873
        10     7.92541    -1.29455     6.63085
        20    12.86755    -2.17287    10.69468
        30    11.57695    -1.75459     9.82236
        40    11.99974    -1.75986    10.23988
        50    11.87970    -1.63791    10.24180
        60    11.56009    -1.19990    10.36019
        70    12.35345    -1.54485    10.80860
        80    11.73532    -1.27924    10.45608
        90    12.35148    -1.63929    10.71219
       100    12.43817    -2.07776    10.36040
       110    11.00366    -1.07377     9.92989
       120    12.71948    -1.79758    10.92190
       130    12.23812    -2.03556    10.20256
       140    11.80746    -1.84632     9.96114
       150    11.23515    -1.07576    10.15939
       160    12.23836    -1.31225    10.92611
       170    12.11497    -1.43236    10.68261
       180    12.08601    -1.52009    10.56592
       190    12.57597    -2.10250    10.47347
       200    11.31102    -1.40335     9.90767
       210    12.25751    -1.66110    10.59641
       220    11.59020    -1.25024    10.33997
       230    12.51470    -1.76608    10.74863
       240    11.54753    -1.31703    10.23050
       250    11.95842    -1.26984    10.68858
       260    12.28247    -1.54776    10.73472
       270    11.55329    -1.12088    10.43242
       280    12.42184    -1.53355    10.88829
       290    11.81288    -1.34713    10.46575
       300    12.40078    -1.75096    10.64982
       310    12.38340    -2.13239    10.25101
       320    11.46940    -1.59931     9.87008
       330    11.81869    -1.41457    10.40412
       340    12.12339    -1.53493    10.58847
       350    12.18169    -1.72415    10.45754
       360    11.90884    -1.62833    10.28050
       370    11.48396    -1.10985    10.37411
       380    12.43637    -1.55643    10.87993
       390    11.79297    -1.34535    10.44761
       400    11.71879    -1.05580    10.66299
       410    12.38583    -1.45974    10.92610
       420    12.13876    -1.59469    10.54407
       430    12.40827    -2.00580    10.40246
       440    12.02556    -2.02618     9.99938
       450    11.48474    -1.50878     9.97595
       460    12.33096    -1.84131    10.48965
       470    11.36543    -1.20107    10.16437
       480    12.37330    -1.57478    10.79852
       490    11.70997    -1.29113    10.41884
       500    12.70247    -1.98921    10.71326
       510    12.10736    -1.39063    10.71674
       520    12.21673    -1.50077    10.71596
       530    12.57899    -1.86483    10.71416
       540    12.57779    -1.86744    10.71036
       550    11.83907    -1.12143    10.71763
       560    12.24879    -1.53624    10.71255
       570    12.81393    -2.10242    10.71151
       580    12.04353    -1.32534    10.71819
       590    12.41692    -1.70236    10.71456
       600    12.31494    -1.59843    10.71651
